Parameter,Scope,RevitUIGroup,Categories,DataType,DefaultValue,PopulateFromAppendix,AppendixHeaderPriority,Export,SharedParameterGroup,GUID,Description,Notes
TD_Asset_Status,ProjectInstance,Model Properties,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,Active,FALSE,,TRUE,TD_Asset_Management,7419d969-6707-4b9b-9ba8-26c232a20de7,Asset lifecycle status.,Project INSTANCE parameter.
TD_Business_Use,ProjectInstance,Data,"Rooms, Spaces",TEXT,,FALSE,,TRUE,TD_Space_Information,2e6bb14d-87aa-49e8-974e-175101a2f312,Business/use classification for workplace spaces.,Project INSTANCE parameter.
TD_Corridor_Percent,ProjectInstance,Data,"Rooms, Spaces",NUMBER,,FALSE,,TRUE,TD_Space_Information,f0d185a8-2955-4788-b1ef-1e21de4652f5,Percentage of corridor; 0.20 = 20%.,Project INSTANCE parameter.
TD_Current_Area_Per_Person,ProjectInstance,Data,"Rooms, Spaces",NUMBER,,FALSE,,TRUE,TD_Space_Information,6b2429b0-3af2-49aa-b2b7-193cf98dfcb6,Calculated current area per person.,Project INSTANCE parameter.
TD_Current_Seat_Count,ProjectInstance,Data,"Rooms, Spaces",INTEGER,,FALSE,,TRUE,TD_Space_Information,5dc1d0d9-4539-4a02-92ff-ca515c5d1d41,Calculated current seat count.,Project INSTANCE parameter.
TD_Department,ProjectInstance,Data,"Rooms, Spaces",TEXT,,FALSE,,TRUE,TD_Space_Information,5866ce86-2c89-46c5-b0e9-26525b9fb2c4,Department code/name.,Project INSTANCE parameter.
TD_Dynamic_Asset_ID,ProjectInstance,Identity Data,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,FALSE,,TRUE,TD_Asset_Identification,feaca921-4854-44d7-bcd1-37a2ce77edfd,Unique ID for each placed asset instance.,Project INSTANCE parameter.
TD_Floor_Level,ProjectInstance,Data,"Rooms, Spaces, Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",INTEGER,,FALSE,,TRUE,TD_Space_Information,c160b4a8-8616-4fdd-a868-031a72ff1c50,Derived floor level.,Project INSTANCE parameter.
TD_Furniture_Count,ProjectInstance,Data,"Rooms, Spaces",INTEGER,,FALSE,,TRUE,TD_Space_Information,be95f799-e8f0-45a9-a153-886125a065fe,Calculated furniture count.,Project INSTANCE parameter.
TD_Installation_Date,ProjectInstance,Model Properties,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,FALSE,,TRUE,TD_Asset_Management,ea4a0be2-025c-42ea-aec6-4559b5f9dc00,Installation date YYYY-MM-DD.,Project INSTANCE parameter.
TD_Maintenance_Required,ProjectInstance,Model Properties,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",YESNO,No,FALSE,,TRUE,TD_Asset_Management,e9a91313-610b-476a-9d2b-d97489c30204,Whether maintenance is required.,Project INSTANCE parameter.
TD_Max_Capacity,ProjectInstance,Data,"Rooms, Spaces",INTEGER,,FALSE,,TRUE,TD_Space_Information,369dbda6-347b-46e7-9154-93bb633d627e,Maximum room/space capacity.,Project INSTANCE parameter.
TD_Occupancy_Weight,ProjectInstance,Data,"Rooms, Spaces",NUMBER,,FALSE,,TRUE,TD_Space_Information,c416a53d-8fde-4190-83ba-8bbb6a9d3c5c,Occupancy weighting factor.,Project INSTANCE parameter.
TD_Remaining_Capacity,ProjectInstance,Data,"Rooms, Spaces",INTEGER,,FALSE,,TRUE,TD_Space_Information,5027155b-4a48-4b14-a280-70f7293f6a66,Calculated remaining capacity.,Project INSTANCE parameter.
TD_Room_Name,ProjectInstance,Data,"Rooms, Spaces, Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,FALSE,,TRUE,TD_Space_Information,81b95791-a05f-4cce-96ee-9b6f018e73a1,Room/space name.,Project INSTANCE parameter.
TD_Room_Number,ProjectInstance,Data,"Rooms, Spaces, Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,FALSE,,TRUE,TD_Space_Information,64ecade4-935e-4ed0-a554-7665e13fbde8,Room/space number.,Project INSTANCE parameter.
TD_Serial_Number,ProjectInstance,Identity Data,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,FALSE,,TRUE,TD_Asset_Identification,69bfc222-6b3a-4bf8-81c1-6738a2adc5c1,Unique manufacturer serial number.,Project INSTANCE parameter.
TD_Space_Category,ProjectInstance,Data,"Rooms, Spaces",TEXT,,FALSE,,TRUE,TD_Space_Information,07718134-3864-494c-af89-5bb729de3c88,Space category.,Project INSTANCE parameter.
TD_Target_Area_Per_Person,ProjectInstance,Data,"Rooms, Spaces",AREA,,FALSE,,TRUE,TD_Space_Information,7d1a92e8-4ef8-4f06-be7f-32471321719c,Target area per person.,Project INSTANCE parameter.
TD_Warranty_Expiry_Date,ProjectInstance,Model Properties,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,FALSE,,TRUE,TD_Asset_Management,c306fe5f-18fb-4607-a44d-98818f3c11af,Warranty expiry YYYY-MM-DD.,Project INSTANCE parameter.
TD_Building_Address,ProjectInformation,General,Project Information,TEXT,,FALSE,,TRUE,TD_Building_Information,adbb5295-60f3-406e-8dc9-0c192cd93b7b,Building address.,Project Information parameter.
TD_Building_City,ProjectInformation,General,Project Information,TEXT,,FALSE,,TRUE,TD_Building_Information,0b502d71-c6f0-4296-bcf1-931664780041,Building city.,Project Information parameter.
TD_Building_Class,ProjectInformation,General,Project Information,TEXT,,FALSE,,TRUE,TD_Building_Information,a29c7098-3fc4-4852-be84-2e86b31b862a,Building class.,Project Information parameter.
TD_Building_Country,ProjectInformation,General,Project Information,TEXT,,FALSE,,TRUE,TD_Building_Information,23dfa3ad-415e-4b2e-8dfa-6f7ba167448a,Building country.,Project Information parameter.
TD_Building_ID,ProjectInformation,General,Project Information,TEXT,,FALSE,,TRUE,TD_Building_Information,26884f36-59df-4e7d-8981-5d35f7c88e83,Building ID from project information.,Project Information parameter.
TD_Building_Name,ProjectInformation,General,Project Information,TEXT,,FALSE,,TRUE,TD_Building_Information,491f6ca8-a822-49af-b394-5c71537ee5cf,Building name.,Project Information parameter.
TD_Building_Province,ProjectInformation,General,Project Information,TEXT,,FALSE,,TRUE,TD_Building_Information,7fcb53d8-529d-417e-8471-40d344382049,Province/state.,Project Information parameter.
