Parameter,Scope,RevitUIGroup,Categories,DataType,DefaultValue,PopulateFromAppendix,AppendixHeaderPriority,Export,SharedParameterGroup,Description,Notes
TD_Business_Use,ProjectInstance,Data,"Rooms, Spaces",TEXT,,FALSE,,TRUE,TD_Space_Information,Business/use classification for workplace spaces.,Project INSTANCE parameter.
TD_Corridor_Percent,ProjectInstance,Data,"Rooms, Spaces",NUMBER,,FALSE,,TRUE,TD_Space_Information,Percentage of corridor; 0.20 = 20%.,Project INSTANCE parameter.
TD_Current_Area_Per_Person,ProjectInstance,Data,"Rooms, Spaces",NUMBER,,FALSE,,TRUE,TD_Space_Information,Calculated current area per person.,Project INSTANCE parameter.
TD_Current_Seat_Count,ProjectInstance,Data,"Rooms, Spaces",INTEGER,,FALSE,,TRUE,TD_Space_Information,Calculated current seat count.,Project INSTANCE parameter.
TD_Department,ProjectInstance,Data,"Rooms, Spaces",TEXT,,FALSE,,TRUE,TD_Space_Information,Department code/name.,Project INSTANCE parameter.
TD_Dynamic_Asset_ID,ProjectInstance,Identity Data,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,FALSE,,TRUE,TD_Asset_Identification,Unique ID for each placed asset instance.,Project INSTANCE parameter.
TD_Floor_Level,ProjectInstance,Data,"Rooms, Spaces, Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",INTEGER,,FALSE,,TRUE,TD_Space_Information,Derived floor level.,Project INSTANCE parameter.
TD_Furniture_Count,ProjectInstance,Data,"Rooms, Spaces",INTEGER,,FALSE,,TRUE,TD_Space_Information,Calculated furniture count.,Project INSTANCE parameter.
TD_Installation_Date,ProjectInstance,Model Properties,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,FALSE,,TRUE,TD_Asset_Management,Installation date YYYY-MM-DD.,Project INSTANCE parameter.
TD_Maintenance_Required,ProjectInstance,Model Properties,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",YESNO,No,FALSE,,TRUE,TD_Asset_Management,Whether maintenance is required.,Project INSTANCE parameter.
TD_Max_Capacity,ProjectInstance,Data,"Rooms, Spaces",INTEGER,,FALSE,,TRUE,TD_Space_Information,Maximum room/space capacity.,Project INSTANCE parameter.
TD_Occupancy_Weight,ProjectInstance,Data,"Rooms, Spaces",NUMBER,,FALSE,,TRUE,TD_Space_Information,Occupancy weighting factor.,Project INSTANCE parameter.
TD_Remaining_Capacity,ProjectInstance,Data,"Rooms, Spaces",INTEGER,,FALSE,,TRUE,TD_Space_Information,Calculated remaining capacity.,Project INSTANCE parameter.
TD_Room_Name,ProjectInstance,Data,"Rooms, Spaces, Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,FALSE,,TRUE,TD_Space_Information,Room/space name.,Project INSTANCE parameter.
TD_Room_Number,ProjectInstance,Data,"Rooms, Spaces, Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,FALSE,,TRUE,TD_Space_Information,Room/space number.,Project INSTANCE parameter.
TD_Serial_Number,ProjectInstance,Identity Data,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,FALSE,,TRUE,TD_Asset_Identification,Unique manufacturer serial number.,Project INSTANCE parameter.
TD_Space_Category,ProjectInstance,Data,"Rooms, Spaces",TEXT,,FALSE,,TRUE,TD_Space_Information,Space category.,Project INSTANCE parameter.
TD_Target_Area_Per_Person,ProjectInstance,Data,"Rooms, Spaces",AREA,,FALSE,,TRUE,TD_Space_Information,Target area per person.,Project INSTANCE parameter.
TD_Warranty_Expiry_Date,ProjectInstance,Model Properties,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,FALSE,,TRUE,TD_Asset_Management,Warranty expiry YYYY-MM-DD.,Project INSTANCE parameter.
TD_Building_Address,ProjectInformation,General,Project Information,TEXT,,FALSE,,TRUE,TD_Building_Information,Building address.,Project Information parameter.
TD_Building_City,ProjectInformation,General,Project Information,TEXT,,FALSE,,TRUE,TD_Building_Information,Building city.,Project Information parameter.
TD_Building_Class,ProjectInformation,General,Project Information,TEXT,,FALSE,,TRUE,TD_Building_Information,Building class.,Project Information parameter.
TD_Building_Country,ProjectInformation,General,Project Information,TEXT,,FALSE,,TRUE,TD_Building_Information,Building country.,Project Information parameter.
TD_Building_ID,ProjectInformation,General,Project Information,TEXT,,FALSE,,TRUE,TD_Building_Information,Building ID from project information.,Project Information parameter.
TD_Building_Name,ProjectInformation,General,Project Information,TEXT,,FALSE,,TRUE,TD_Building_Information,Building name.,Project Information parameter.
TD_Building_Province,ProjectInformation,General,Project Information,TEXT,,FALSE,,TRUE,TD_Building_Information,Province/state.,Project Information parameter.
